Coordinate,Energy
1.3,-498.839073
1.59,-499.069552
1.88,-499.089643
2.17,-499.055701
2.46,-499.013533
2.75,-498.974738
3.04,-498.941824
3.33,-498.914787
3.62,-498.89284
3.91,-498.875126
4.2,-498.860941
4.49,-498.849693
4.78,-498.840831
5.07,-498.83384
5.36,-498.828271
5.65,-498.823755
5.94,-498.820009
6.23,-498.816824
6.52,-498.814052
6.81,-498.811594
7.1,-498.809382
7.39,-498.80737
7.68,-498.805528
7.97,-498.803831
8.26,-498.802263
8.55,-498.800808
8.84,-498.799454
9.13,-498.798191
9.42,-498.79701
9.71,-498.795903
10,-498.794863
